key_actor,category,policy_domain,mentions_in_topic,global_entity_mentions,total_docs_spanned,topic_share_percentage
Monaco,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Mongolia,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Montenegro,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Montreal,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Morocco Mozambique",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Multi-Regional Input-Output",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Murphy Oil",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Myanmar,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Namibia,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"National Climate Assessment",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"National Climate Task Force",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"National Highway Traffic Safety Administration",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"National Security",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Nationally Determined Contributions",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"NBC News",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
NEG-ECP,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Nepal,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"New Energy for America",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"New Hampshire",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"New Jersey's",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"New Member States",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"New York City",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"New York State",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"New York State Energy Plan",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
NHTSA,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Nicaragua,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Nigeria,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
NOAA,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"North Korea",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Obama's Council of Economic Advisers",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Ogilvy,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Oman,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Ontario,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Pacific Gas & Electric",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Pakistan,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Palau,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Palestine,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Paris,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Party,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
PBL,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
