category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_url,proponent,protocol,registry,retired,status,clean_category
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2019-10-09 00:00:00+00:00,False,52882,,GS1247 VPA 94 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,GLD5332,https://registry.goldstandard.org/projects?q=gs5332,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,22993,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2020-02-24 00:00:00+00:00,False,53949,,GS1247 VPA 92 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,GLD5330,https://registry.goldstandard.org/projects?q=gs5330,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,34766,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2018-07-24 00:00:00+00:00,False,55619,,GS1247 VPA 91 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,GLD5329,https://registry.goldstandard.org/projects?q=gs5329,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,35080,unknown,Energy-Efficiency
"[""unknown""]",Malawi,,,False,0,,Conserving the Mulanje Mountains Malawi - Saving forests and empowering mountain communities with improved cookstoves,GLD7142,https://registry.goldstandard.org/projects?q=gs7142,Swiss Carbon Value Ltd.,"[""unknown""]",gold-standard,0,unknown,Unknown
"[""energy-efficiency""]",Malawi,2011-03-30 00:00:00+00:00,2011-06-15 00:00:00+00:00,False,256522,,Integrated Biomass Energy Conservation Project - Malawi,GLD613,https://registry.goldstandard.org/projects?q=gs613,Hestian Innovation,"[""gs-tpddtec""]",gold-standard,255813,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2020-01-10 00:00:00+00:00,False,46525,,GS1247 VPA 115 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,GLD5440,https://registry.goldstandard.org/projects?q=gs5440,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,32013,unknown,Energy-Efficiency
"[""unknown""]",Malawi,2021-07-06 00:00:00+00:00,2022-05-13 00:00:00+00:00,False,36766,,GS5382 Energy for Sustainable Development – Malawi 2,GLD5447,https://registry.goldstandard.org/projects?q=gs5447,United Purpose Ltd,"[""unknown""]",gold-standard,36764,unknown,Unknown
"[""energy-efficiency""]",Malawi,,,False,0,,GS1247 VPA 118 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,GLD5443,https://registry.goldstandard.org/projects?q=gs5443,QK TS Pvt. Ltd.,"[""gs-tpddtec""]",gold-standard,0,listed,Energy-Efficiency
"[""energy-efficiency""]",Malawi,,,False,0,,GS1247 VPA 117 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,GLD5442,https://registry.goldstandard.org/projects?q=gs5442,QK TS Pvt. Ltd.,"[""gs-tpddtec""]",gold-standard,0,listed,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2020-07-02 00:00:00+00:00,False,54289,,GS1247 VPA 101 Improved Kitchen Regimes Multi-Country PoA - Kasungu Boreholes Malawi,GLD5341,https://registry.goldstandard.org/projects?q=gs5341,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,19400,unknown,Energy-Efficiency
